Row,Aeff(um^2),P_out_over_Total,Q_rad(M),Yellow is TM
ida=450nm r=3um radius=10um,0.104277921,0.014691222,80562400653,No highlight is TE
ida=450nm r=3um radius=15um,0.112012335,0.010488691,6.36E+11,
ida=450nm r=3um radius=20um,0.118598213,0.008152351,9339827784,
ida=450nm r=3um radius=30um,0.129572988,0.00563766,8.97E+11,
ida=450nm r=3um radius=6um,0.097639998,0.013851637,8.24E+13,
ida=450nm r=4um radius=10um,0.112597492,0.013587718,1.86E+12,
ida=450nm r=4um radius=15um,0.120337058,0.009907014,92083901835,
ida=450nm r=4um radius=20um,0.126948975,0.007792034,4.39E+11,
ida=450nm r=4um radius=30um,0.137974963,0.005457807,24753395215,
ida=450nm r=4um radius=6um,0.104540469,0.012365508,8.86E+13,
ida=450nm r=5um radius=10um,0.11943393,0.012642713,90773993374,
ida=450nm r=5um radius=15um,0.127113669,0.00939132,1.72E+11,
ida=450nm r=5um radius=20um,0.133707475,0.007467132,1.46E+11,
ida=450nm r=5um radius=30um,0.144745766,0.005293906,1.67E+11,
ida=450nm r=5um radius=6um,0.112173723,0.01746686,3.80E+11,
ida=450nm r=6um radius=10um,0.126087494,0.011821454,1.39E+12,
ida=450nm r=6um radius=15um,0.133747007,0.008928078,4.58E+11,
ida=450nm r=6um radius=20um,0.140356929,0.007169847,8.90E+11,
ida=450nm r=6um radius=30um,0.151471417,0.005141252,4.47E+11,
ida=450nm r=6um radius=6um,0.118894769,0.015944332,1.30E+11,
,,,,
ida=450nm r=3um radius=1.5um,0.075800885,0.045627121,2.57E+13,
