jinyu 20240902

wavelength (microns), Re(eps)
1.6, 2.28243
1.59914, 2.28244
1.5957, 2.28249
1.59309, 2.28253
1.59226, 2.28254
1.58883, 2.28259
1.58624, 2.28263
1.58539, 2.28265
1.58195, 2.2827
1.57945, 2.28273
1.57851, 2.28275
1.57507, 2.2828
1.57271, 2.28283
1.57163, 2.28285
1.56819, 2.2829
1.56604, 2.28294
1.56475, 2.28296
1.56131, 2.28301
1.55941, 2.28304
1.55787, 2.28306
1.55442, 2.28312
1.55285, 2.28314
1.55098, 2.28317
1.54754, 2.28322
1.54634, 2.28324
1.5441, 2.28328
1.54065, 2.28333
1.53988, 2.28335
1.53721, 2.28339
1.53377, 2.28345
1.53348, 2.28345
1.53032, 2.2835
1.52713, 2.28355
1.52688, 2.28356
1.52344, 2.28361
1.52084, 2.28366
1.51999, 2.28367
1.51655, 2.28373
1.51459, 2.28376
1.5131, 2.28379
1.50966, 2.28385
1.5084, 2.28387
1.50621, 2.2839
1.50276, 2.28396
1.50226, 2.28397
1.49932, 2.28402
1.49616, 2.28408
1.49587, 2.28408
1.49243, 2.28414
1.49012, 2.28418
1.48898, 2.2842
1.48553, 2.28427
1.48412, 2.28429
1.48208, 2.28433
1.47864, 2.28439
1.47818, 2.2844
1.47519, 2.28445
1.47228, 2.2845
1.47174, 2.28451
1.46829, 2.28458
1.46642, 2.28461
1.46484, 2.28464
1.46139, 2.2847
1.46062, 2.28472
1.45794, 2.28477
1.45485, 2.28483
1.45449, 2.28483
1.45104, 2.2849
1.44914, 2.28494
1.44759, 2.28497
1.44414, 2.28503
1.44347, 2.28504
1.44069, 2.2851
1.43784, 2.28515
1.43724, 2.28517
1.43379, 2.28523
1.43226, 2.28526
1.43034, 2.2853
1.42689, 2.28537
1.42672, 2.28537
1.42344, 2.28544
1.42122, 2.28548
1.41999, 2.28551
1.41653, 2.28558
1.41577, 2.28559
1.41308, 2.28565
1.41035, 2.2857
1.40963, 2.28572
1.40618, 2.28579
1.40498, 2.28582
1.40272, 2.28586
1.39965, 2.28593
1.39927, 2.28594
1.39582, 2.28601
1.39436, 2.28604
1.39236, 2.28608
1.38911, 2.28615
1.38891, 2.28616
1.38546, 2.28623
1.3839, 2.28626
1.382, 2.28631
1.37872, 2.28638
1.37855, 2.28638
1.37509, 2.28646
1.37359, 2.28649
1.37164, 2.28653
1.36849, 2.2866
1.36818, 2.28661
1.36473, 2.28669
1.36343, 2.28672
1.36127, 2.28677
1.35841, 2.28683
1.35782, 2.28685
1.35436, 2.28693
1.35343, 2.28695
1.35091, 2.28701
1.34848, 2.28706
1.34745, 2.28709
1.34399, 2.28717
1.34357, 2.28718
1.34054, 2.28725
1.33869, 2.28729
1.33708, 2.28733
1.33385, 2.28741
1.33362, 2.28742
1.33017, 2.2875
1.32905, 2.28753
1.32671, 2.28758
1.32428, 2.28764
1.32325, 2.28767
